smells "Tool detections" "Tool precision" "Tool recall" "Tool F1" "Hadolint detections" "Hadolint precision" "Hadolint recall" "Hadolint F1"
DL3019 14 1.0 1.0 1.0 14 1.0 1.0 1.0
DL3032 31 1.0 0.96875 0.9841269841269841 30 1.0 0.9375 0.967741935483871
DL3036 15 1.0 0.9375 0.967741935483871 16 1.0 1.0 1.0
DL3040 7 0.8571428571428571 1.0 0.923076923076923 6 1.0 1.0 1.0
DL3060 3 1.0 1.0 1.0 3 1.0 1.0 1.0
DL9008 30 1.0 1.0 1.0 0 0.0 0.0 0.0
DL9009 17 0.9411764705882353 1.0 0.9696969696969697 0 0.0 0.0 0.0
DL9010 3 1.0 1.0 1.0 0 0.0 0.0 0.0
DL9011 192 0.9375 1.0 0.967741935483871 0 0.0 0.0 0.0
DL9012 3 1.0 0.75 0.8571428571428571 0 0.0 0.0 0.0
DL3015 152 0.993421052631579 0.993421052631579 0.993421052631579 105 1.0 0.6907894736842105 0.8171206225680934
DL9006 4 1.0 1.0 1.0 0 0.0 0.0 0.0
DL9007 14 1.0 1.0 1.0 0 0.0 0.0 0.0
DL3014 8 1.0 1.0 1.0 1 1.0 0.125 0.2222222222222222
DL3030 11 0.9090909090909091 1.0 0.9523809523809523 10 0.9 0.9 0.9
DL3038 11 0.8181818181818182 1.0 0.9 10 0.8 0.8888888888888888 0.8421052631578948
DL9003 1 1.0 0.5 0.6666666666666666 0 0.0 0.0 0.0
DL9004 19 1.0 1.0 1.0 0 0.0 0.0 0.0
DL9005 71 1.0 0.9726027397260274 0.9861111111111112 0 0.0 0.0 0.0
DL3008 200 0.985 0.985 0.985 172 1.0 0.86 0.924731182795699
DL3016 13 0.9230769230769231 1.0 0.9600000000000001 12 1.0 1.0 1.0
DL3018 59 1.0 1.0 1.0 59 1.0 1.0 1.0
DL3033 31 1.0 1.0 1.0 30 1.0 0.967741935483871 0.9836065573770492
DL3037 15 1.0 1.0 1.0 15 1.0 1.0 1.0
DL3041 10 0.9 1.0 0.9473684210526316 10 0.9 1.0 0.9473684210526316
DL9001 4 1.0 0.8 0.888888888888889 0 0.0 0.0 0.0
DL9002 9 0.6666666666666666 1.0 0.8 0 0.0 0.0 0.0
DL9000 5 0.8 1.0 0.888888888888889 0 0.0 0.0 0.0
DL9020 21 0.9523809523809523 1.0 0.975609756097561 0 0.0 0.0 0.0
DL9013 6 1.0 1.0 1.0 0 0.0 0.0 0.0
DL9014 5 1.0 1.0 1.0 0 0.0 0.0 0.0
DL9015 12 1.0 0.8 0.888888888888889 0 0.0 0.0 0.0
DL9016 10 1.0 1.0 1.0 0 0.0 0.0 0.0
DL9017 14 1.0 1.0 1.0 0 0.0 0.0 0.0
DL9018 30 0.8666666666666667 0.7878787878787878 0.8253968253968254 0 0.0 0.0 0.0
DL9019 5 1.0 1.0 1.0 0 0.0 0.0 0.0
DL3010 15 1.0 1.0 1.0 5 1.0 0.3333333333333333 0.5
DL3059 130 0.8615384615384616 0.7 0.7724137931034483 297 0.5353535353535354 0.99375 0.6958424507658643
