C:\Users\Ian Angillis\Workspace\MasterComputerScienceThesis\data\dockerfiles\5dd7884d5ce9aa19c6e7b5bf14bf30f654189c6e.Dockerfile:2 DL4000 [1m[91merror[0m: MAINTAINER is deprecated
C:\Users\Ian Angillis\Workspace\MasterComputerScienceThesis\data\dockerfiles\5dd7884d5ce9aa19c6e7b5bf14bf30f654189c6e.Dockerfile:4 DL3015 [92minfo[0m: Avoid additional packages by specifying `--no-install-recommends`
C:\Users\Ian Angillis\Workspace\MasterComputerScienceThesis\data\dockerfiles\5dd7884d5ce9aa19c6e7b5bf14bf30f654189c6e.Dockerfile:4 DL3008 [1m[93mwarning[0m: Pin versions in apt get install. Instead of `apt-get install <package>` use `apt-get install <package>=<version>`
C:\Users\Ian Angillis\Workspace\MasterComputerScienceThesis\data\dockerfiles\5dd7884d5ce9aa19c6e7b5bf14bf30f654189c6e.Dockerfile:22 DL3059 [92minfo[0m: Multiple consecutive `RUN` instructions. Consider consolidation.
C:\Users\Ian Angillis\Workspace\MasterComputerScienceThesis\data\dockerfiles\5dd7884d5ce9aa19c6e7b5bf14bf30f654189c6e.Dockerfile:23 DL3059 [92minfo[0m: Multiple consecutive `RUN` instructions. Consider consolidation.
C:\Users\Ian Angillis\Workspace\MasterComputerScienceThesis\data\dockerfiles\5dd7884d5ce9aa19c6e7b5bf14bf30f654189c6e.Dockerfile:24 DL3059 [92minfo[0m: Multiple consecutive `RUN` instructions. Consider consolidation.
C:\Users\Ian Angillis\Workspace\MasterComputerScienceThesis\data\dockerfiles\5dd7884d5ce9aa19c6e7b5bf14bf30f654189c6e.Dockerfile:25 DL3059 [92minfo[0m: Multiple consecutive `RUN` instructions. Consider consolidation.
C:\Users\Ian Angillis\Workspace\MasterComputerScienceThesis\data\dockerfiles\5dd7884d5ce9aa19c6e7b5bf14bf30f654189c6e.Dockerfile:26 DL3059 [92minfo[0m: Multiple consecutive `RUN` instructions. Consider consolidation.
C:\Users\Ian Angillis\Workspace\MasterComputerScienceThesis\data\dockerfiles\5dd7884d5ce9aa19c6e7b5bf14bf30f654189c6e.Dockerfile:27 DL3059 [92minfo[0m: Multiple consecutive `RUN` instructions. Consider consolidation.
C:\Users\Ian Angillis\Workspace\MasterComputerScienceThesis\data\dockerfiles\5dd7884d5ce9aa19c6e7b5bf14bf30f654189c6e.Dockerfile:28 DL3059 [92minfo[0m: Multiple consecutive `RUN` instructions. Consider consolidation.
C:\Users\Ian Angillis\Workspace\MasterComputerScienceThesis\data\dockerfiles\5dd7884d5ce9aa19c6e7b5bf14bf30f654189c6e.Dockerfile:42 DL3059 [92minfo[0m: Multiple consecutive `RUN` instructions. Consider consolidation.
C:\Users\Ian Angillis\Workspace\MasterComputerScienceThesis\data\dockerfiles\5dd7884d5ce9aa19c6e7b5bf14bf30f654189c6e.Dockerfile:43 DL3059 [92minfo[0m: Multiple consecutive `RUN` instructions. Consider consolidation.
C:\Users\Ian Angillis\Workspace\MasterComputerScienceThesis\data\dockerfiles\5dd7884d5ce9aa19c6e7b5bf14bf30f654189c6e.Dockerfile:44 DL3059 [92minfo[0m: Multiple consecutive `RUN` instructions. Consider consolidation.
C:\Users\Ian Angillis\Workspace\MasterComputerScienceThesis\data\dockerfiles\5dd7884d5ce9aa19c6e7b5bf14bf30f654189c6e.Dockerfile:50 DL3059 [92minfo[0m: Multiple consecutive `RUN` instructions. Consider consolidation.
C:\Users\Ian Angillis\Workspace\MasterComputerScienceThesis\data\dockerfiles\5dd7884d5ce9aa19c6e7b5bf14bf30f654189c6e.Dockerfile:58 DL3059 [92minfo[0m: Multiple consecutive `RUN` instructions. Consider consolidation.
